date,text,pos_tagged
2022-12-01 15:07:00,이거 진짜 리얼 머냐,"[('이', 'Determiner'), ('거', 'Noun'), ('진짜', 'Noun'), ('리얼', 'Noun'), ('머냐', 'Adjective')]"
2022-12-01 15:02:00,약속의 3시,"[('약속', 'Noun'), ('의', 'Josa'), ('3시', 'Number')]"
2022-12-01 15:01:00,189000원  세상에,"[('189000원', 'Number'), ('세상', 'Noun'), ('에', 'Josa')]"
2022-12-01 15:09:00,189000원  세상에,"[('189000원', 'Number'), ('세상', 'Noun'), ('에', 'Josa')]"
2022-12-01 14:57:00,신같이 갭 메우러 가겠네,"[('신', 'Noun'), ('같이', 'Josa'), ('갭', 'Verb'), ('메우러', 'Verb'), ('가겠네', 'Verb')]"
2022-12-01 14:56:00,192천원은 넘어야하는데,"[('192천원', 'Number'), ('은', 'Foreign'), ('넘어야하는데', 'Verb')]"
2022-12-01 14:55:00,Thats not surprised,"[('Thats', 'Alpha'), ('not', 'Alpha'), ('surprised', 'Alpha')]"
2022-12-01 14:53:00,평단 19만인데,"[('평단', 'Noun'), ('19만', 'Number'), ('인데', 'Foreign')]"
2022-12-01 14:48:00,189500원,"[('189500원', 'Number')]"
2022-12-01 14:45:00,언제나 카카오한테 밀리내,"[('언제나', 'Adverb'), ('카카오', 'Noun'), ('한테', 'Josa'), ('밀리내', 'Verb')]"
2022-12-01 14:45:00,기어이,"[('기어이', 'Noun')]"
2022-12-01 14:44:00,팍팍팍 올라가자,"[('팍팍', 'Adverb'), ('팍', 'Noun'), ('올라가자', 'Verb')]"
2022-12-01 14:40:00,공매,"[('공매', 'Noun')]"
2022-12-01 14:40:00,삭제된 게시물의 답글돔황가,"[('삭제', 'Noun'), ('된', 'Verb'), ('게시', 'Noun'), ('물의', 'Noun'), ('답글돔황', 'Noun'), ('가', 'Josa')]"
2022-12-01 14:17:00,헝님들,"[('헝님들', 'Noun')]"
2022-12-01 13:58:00,오전에 천주 팔고,"[('오전', 'Noun'), ('에', 'Josa'), ('천주', 'Noun'), ('팔고', 'Noun')]"
2022-12-01 13:53:00,오늘 장초반 물린사람 손,"[('오늘', 'Noun'), ('장', 'Noun'), ('초반', 'Noun'), ('물린', 'Verb'), ('사람', 'Noun'), ('손', 'Noun')]"
2022-12-01 13:51:00,아물렀나,"[('아', 'Exclamation'), ('물렀나', 'Verb')]"
2022-12-01 13:13:00,신한 한국,"[('신한', 'Noun'), ('한국', 'Noun')]"
